Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
0293/S,COPPIA GIUNTI X SPOOK,  14.00 ,3
0295,COPPIA STAFFE ANCORAGGIO SPOOK,  38.00 ,3
0298/104,CASSAFORMA PART. 104 CM SPOOK,  122.00 ,3
0298/154,CASSAFORMA PART. 154 CM SPOOK,  152.00 ,3
0298/308,CASSAFORMA PART. 308 CM SPOOK,  239.00 ,3
0298/54,CASSAFORMA PART. 54 CM SPOOK,  88.00 ,3
0299/104,CASSAFORMA 104 CM SPOOK,  95.00 ,3
0299/154,CASSAFORMA 154 CM SPOOK,  135.00 ,3
0299/308,CASSAFORMA 308 CM SPOOK,  215.00 ,3
0299/54,CASSAFORMA 54 CM SPOOK,  65.00 ,3
0301,COPPIA TAPPI CHUSURA SPOOK,  23.00 ,3
0302.02,ARCO COMPOSIZIONE TULIPANO,  42.00 ,3
0302.25,ARCO COMPOSIZIONE TULIPANO,  94.00 ,3
0304.02,ANELLO COMPOSIZIONI TULIPANO,  72.00 ,3
0304.25,ANELLO COMPOSIZIONI TULIPANO,  130.00 ,3
0305,GIUNZIONI ROSONI LIN. TULIPANO,  13.00 ,3
0336.00,DIFF. MATASSA CM 23 X 1517-2127,  135.00 ,3
0337.00,DIFF. MATASSA CM 34 X 1518-2128,  200.00 ,3
0338.00,DIFF. MATASSA CM 46 X 1519-2129,  360.00 ,3
0340.00,DIFF. MATASSA CM 34 X 4533,  125.00 ,3
0341.00,DIFF. MATASSA CM 46 X 4534,  222.00 ,3
0354.00,DIFFUSORE PYREX X 1516-5233,  60.00 ,3
0506.01,ROSONE CON ALIMENTATORE X MORK,  170.00 ,3
0507.01,COLLEGAM. CONFIG. LINEARI MORK,  56.00 ,3
0532.31,ELEMENTO X DECENTRAM. CROMATO,  5.50 ,3
0533/C,KIT/1/3087 X 0533/4-1147/8,  8.00 ,3
0535.01,ROSONE CONICO C/DRIVER PEVERA,  63.00 ,3
0535.02,ROSONE CONICO C/DRIVER PEVERA,  63.00 ,3
0535.05,ROSONE CONICO C/DRIVER PEVERA,  63.00 ,3
0536.01,ELEMENTO DECENTR. X 1566/72/94,  22.00 ,3
0536.02,ELEMENTO DECENTR. X 1566/72/94,  22.00 ,3
0536.25,ELEMENTO DECENTR. X 1566/72/94,  30.00 ,3
0536.31,ELEMENTO DECENTR. X 1566/72/94,  27.00 ,3
0547.02,SCHERMO IN METALLO VER. NERO,  73.00 ,3
0549.02.00,DIFFUSORE VETRO TRASP. NEWTON,  95.00 ,3
